Acquirente_ID,Venditore_ID,Rating_Acquirente_V,Rating_Venditore_A,Item_ID,Acquirente_Community,Venditore_Community,Main_Tag_Acquirente,Detailed_Tag_Acquirente,Main_Tag_Venditore,Detailed_Tag_Venditore,Rating_Medio,Numero_Transazioni,Rating_A,Rating_V,Scarto
66964234.0,51137088,5,1.0,,Generalista,Multi_category,Generalista,Debole_Action_Figure,Multi_category,Multi_category_Gaming_Console_Moda_Lusso,5.0,1,5,1.0,4.0
60371428.0,79807304,3,5.0,,Multi_category,Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Tech_Elettronica,Fumetti_Manga,Puro_Fumetti_Manga,3.0,1,3,5.0,2.0
70602452.0,76860837,3,5.0,,Generalista,Carte_TCG,Generalista,Debole_Carte_TCG,Carte_TCG,Puro_Carte_TCG,3.0,1,3,5.0,2.0
74957104.0,76860837,3,5.0,,Generalista,Carte_TCG,Generalista,Debole_Media_Vinili,Carte_TCG,Puro_Carte_TCG,3.0,1,3,5.0,2.0
89181859.0,138224980,3,5.0,,Moda_Lusso,Multi_category,Moda_Lusso,Puro_Moda_Lusso,Multi_category,Multi_category_Action_Figure_Moda_Lusso,3.0,1,3,5.0,2.0
127879357.0,171025810,5,1.0,,Multi_category,Multi_category,Multi_category,Multi_category_Carte_TCG_Action_Figure,Multi_category,Multi_category_Fumetti_Manga_Carte_TCG,5.0,1,5,1.0,4.0
56312879.0,232131254,5,1.0,6820601183.0,Fumetti_Manga,Multi_category,Fumetti_Manga,Puro_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Carte_TCG,5.0,4,5,1.0,4.0
56312879.0,232131254,5,1.0,6718769419.0,Fumetti_Manga,Multi_category,Fumetti_Manga,Puro_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Carte_TCG,5.0,4,5,1.0,4.0
56312879.0,232131254,5,1.0,6617966838.0,Fumetti_Manga,Multi_category,Fumetti_Manga,Puro_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Carte_TCG,5.0,4,5,1.0,4.0
241388841.0,232131254,1,5.0,,Carte_TCG,Multi_category,Carte_TCG,Puro_Carte_TCG,Multi_category,Multi_category_Action_Figure_Carte_TCG,1.0,1,1,5.0,4.0
231366497.0,232131254,5,1.0,,Carte_TCG,Multi_category,Carte_TCG,Puro_Carte_TCG,Multi_category,Multi_category_Action_Figure_Carte_TCG,5.0,1,5,1.0,4.0
242207914.0,249994384,3,5.0,,Media_Vinili,Multi_category,Media_Vinili,Puro_Media_Vinili,Multi_category,Multi_category_Moda_Lusso_Carte_TCG,3.0,1,3,5.0,2.0
262464997.0,86438122,5,3.0,,Multi_category,Action_Figure,Multi_category,Multi_category_Action_Figure_Fumetti_Manga,Action_Figure,Puro_Action_Figure,5.0,1,5,3.0,2.0
165787745.0,86438122,5,1.0,,Media_Vinili,Action_Figure,Media_Vinili,Puro_Media_Vinili,Action_Figure,Puro_Action_Figure,5.0,1,5,1.0,4.0
67606141.0,58202410,1,5.0,,Moda_Lusso,Action_Figure,Moda_Lusso,Puro_Moda_Lusso,Action_Figure,Puro_Action_Figure,1.0,1,1,5.0,4.0
212153143.0,163790130,3,5.0,,Action_Figure,Action_Figure,Action_Figure,Puro_Action_Figure,Action_Figure,Puro_Action_Figure,3.0,1,3,5.0,2.0
12318354.0,162622596,5,1.0,7151123146.0,Generalista,Multi_category,Generalista,Debole_Action_Figure,Multi_category,Multi_category_Fumetti_Manga_Action_Figure,5.0,1,5,1.0,4.0
63638801.0,162622596,5,1.0,,Multi_category,Multi_category,Multi_category,Multi_category_Action_Figure_Moda_Lusso,Multi_category,Multi_category_Fumetti_Manga_Action_Figure,5.0,1,5,1.0,4.0
18136974.0,162622596,5,1.0,,Generalista,Multi_category,Generalista,Debole_Action_Figure,Multi_category,Multi_category_Fumetti_Manga_Action_Figure,5.0,1,5,1.0,4.0
143993073.0,48984054,3,5.0,,Generalista,Multi_category,Generalista,Debole_Carte_TCG,Multi_category,Multi_category_Action_Figure_Moda_Lusso,3.0,1,3,5.0,2.0
130139872.0,48984054,3,5.0,,Generalista,Multi_category,Generalista,Debole_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Moda_Lusso,3.0,1,3,5.0,2.0
212923417.0,225927726,1,5.0,7066412929.0,Generalista,Multi_category,Generalista,Debole_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Gaming_Console,1.0,2,1,5.0,4.0
24726420.0,225927726,1,5.0,6638900006.0,Generalista,Multi_category,Generalista,Debole_Fumetti_Manga,Multi_category,Multi_category_Action_Figure_Gaming_Console,1.0,1,1,5.0,4.0
257796636.0,83018858,5,1.0,6631855077.0,Multi_category,Gaming_Console,Multi_category,Multi_category_Gaming_Console_Moda_Lusso,Gaming_Console,Puro_Gaming_Console,5.0,1,5,1.0,4.0
69897120.0,83018858,3,5.0,,Multi_category,Gaming_Console,Multi_category,Multi_category_Tech_Elettronica_Gaming_Console,Gaming_Console,Puro_Gaming_Console,3.0,1,3,5.0,2.0
237348386.0,52902518,1,5.0,,Moda_Lusso,Media_Vinili,Moda_Lusso,Puro_Moda_Lusso,Media_Vinili,Puro_Media_Vinili,1.0,1,1,5.0,4.0
14099863.0,237920137,1,5.0,7346412337.0,Moda_Lusso,Tech_Elettronica,Moda_Lusso,Puro_Moda_Lusso,Tech_Elettronica,Puro_Tech_Elettronica,1.0,1,1,5.0,4.0
54777183.0,151153734,4,1.0,3787316554.0,Generalista,Action_Figure,Generalista,Debole_Action_Figure,Action_Figure,Puro_Action_Figure,4.0,1,4,1.0,3.0
192900745.0,151153734,1,5.0,,Generalista,Action_Figure,Generalista,Debole_Carte_TCG,Action_Figure,Puro_Action_Figure,1.0,1,1,5.0,4.0
159047105.0,276534491,1,5.0,6709228965.0,Generalista,Moda_Lusso,Generalista,Debole_Moda_Lusso,Moda_Lusso,Puro_Moda_Lusso,1.0,2,1,5.0,4.0
85058923.0,8611252,3,1.0,,Gaming_Console,Multi_category,Gaming_Console,Puro_Gaming_Console,Multi_category,Multi_category_Moda_Lusso_Gaming_Console,3.0,1,3,1.0,2.0
142803053.0,57313689,2,5.0,7145306556.0,Generalista,Moda_Lusso,Generalista,Debole_Tech_Elettronica,Moda_Lusso,Puro_Moda_Lusso,2.0,2,2,5.0,3.0
33300191.0,57313689,1,5.0,,Action_Figure,Moda_Lusso,Action_Figure,Puro_Action_Figure,Moda_Lusso,Puro_Moda_Lusso,1.0,1,1,5.0,4.0
22022193.0,57313689,3,5.0,,Moda_Lusso,Moda_Lusso,Moda_Lusso,Puro_Moda_Lusso,Moda_Lusso,Puro_Moda_Lusso,3.0,1,3,5.0,2.0
42667906.0,50714517,3,5.0,,Action_Figure,Moda_Lusso,Action_Figure,Puro_Action_Figure,Moda_Lusso,Puro_Moda_Lusso,3.0,1,3,5.0,2.0
65314970.0,50714517,3,5.0,,Moda_Lusso,Moda_Lusso,Moda_Lusso,Puro_Moda_Lusso,Moda_Lusso,Puro_Moda_Lusso,3.0,1,3,5.0,2.0
63685405.0,50714517,1,5.0,,Moda_Lusso,Moda_Lusso,Moda_Lusso,Puro_Moda_Lusso,Moda_Lusso,Puro_Moda_Lusso,1.0,1,1,5.0,4.0
14460718.0,50714517,2,5.0,,Generalista,Moda_Lusso,Generalista,Debole_Moda_Lusso,Moda_Lusso,Puro_Moda_Lusso,2.0,1,2,5.0,3.0
16985283.0,50714517,3,5.0,,Generalista,Moda_Lusso,Generalista,Debole_Moda_Lusso,Moda_Lusso,Puro_Moda_Lusso,3.0,1,3,5.0,2.0
